요리명,요리재료내용,필수재료
닭볶음탕,[닭볶음탕 재료] 닭 1마리(팩)| 감자 4개| 당근 1/2개| 양파 1개| 홍고추 1개| 매운청양고추 1개| 물 7컵 [닭볶음탕 양념 재료] 설탕 2큰술| 국간장 1큰술| 양조간장 5큰술| 멸치액젓 2큰술| 맛술 2큰술| 생강술(다진생강) 2큰술(1작은술)| 고추장 2큰술| 고춧가루 2큰술| 후춧가루 약간,"닭,감자,당근,양파,홍고추,매운청양고추,물,국간장,양조간장,멸치액젓,맛술,생강술,고추장,고춧가루,후춧가루"
미역국,[재료] 미역 1줌| 소고기 200g| 참기름 1큰술| 조선간장 2큰술,"미역,소고기,참기름,조선간장"
순두부찌개,[재료] 돼지고기| 바지락| 순두부| 대파| 호박1/4개| 청양고추2개| 달걀1개| [양념]| 고추기름3수저| 국간장2수저| 소금 1/2수저| 고춧가루2수저| 다진마늘 1수저,"돼지고기,바지락,순두부,대파,호박,청양고추,달걀,"
닭볶음탕,[재료] 닭 1마리| 감자 3개| 당근 1/2개| 양파 1/2개| 고추 2개| 대파 1뿌리| 수제비(선택사항) [양념] 고추장 2TS| 고춧가루 1Ts| 올리고당 1TS| 후추 약간 | 다진마늘,"닭,감자,당근,양파,고추,대파,수제비"
된장찌개,[재료] 고기 (소| 돼지 상관없음) 100g| 무 100g| 파 30g| 매운 고추 30g| 간마늘 1Tbsp| 쌀뜨물 3컵| 설탕 1/2tsp| 두부 190g| 식용유 1/2 [양념] 된장 3Tbsp| 고추장 1Tbsp,"고기,무,파,매운고추,간마늘,쌀뜨물,설탕,두부,식용유"
우엉조림,[우엉조림 재료] 우엉 470g| 식초 1T| 소금 1T| 진간장 7T| 올리고당 7T| 마늘 1T| 식용유 1T| 참기름 1T| 통깨 1T,"우엉,식초,소금,진간장,올리고당,마늘,식용유,참기름,통깨"
두부조림,[두부조림 재료] 두부 1모| 청양고추 2개| 홍고추 1/2개| 대파 1대 [두부조림 양념장 재료] 양조간장 3큰술| 설탕 1/2큰술| 새우젓국물 1큰술| 고춧가루 1+1/2큰술| 다시마우린물 1+1/2컵| 소금 약간,"두부,청양고추,홍고추,대파,설탕,새우젓국물,고춧가루,다시마우린물,소금"
수제비,[재료] 멸치 20마리| 다시마 사방 5센치 4장정도| 밀가루 계량컵 3컵| 식용유 1T| 감자 200g| 양파 150g| 호박200g| 청양고추 2개| 홍고추 1개 [양념] 소금 약간| 집간장 2T,"멸치,다시마사방,밀가루계량컵,식용유,감자,양파,호박,청양고추,홍고추"
두부조림,두부 1모| 계란 3개| 양파 1/2개| 청양고추| 대파| 물 150ml? ? 양념장 - 간장 3스푼| 고춧가루 1/2스푼| 설탕 1스푼| 다진마늘 1/2스푼| 참기름 1/2스푼| 후추?,"두부,계란,양파,청양고추,대파,물,고춧가루,설탕,다진마늘,참기름,후추"
오징어채볶음,[재료] 오징어채 150g| 청양고추 1개| 다진파 조금 [양념] 고추장 2큰술| 고춧가루 2큰술| 진간장 2큰술| 물엿 2큰술| 마요네즈 1큰술| 통깨 약간,"오징어채,청양고추,다진파"
미역줄기볶음,[미역줄기 볶음 재료] 염장 미역줄기 300g| 당근 약간| 양파 1/4개| 청양고추 1개| 대파 1/3대| 다진마늘 1t| 식용유 적당량 [양념 재료] 간장 1T| 깨소금 1T,"염장미역줄기,당근,양파,청양고추,대파,다진마늘,식용유간장,깨소금"
갈비찜,[주재료] LA갈비 17개정도| 양념소스 넉넉하게| 알밤 10개정도| 당근(중) 1/2개| 생강차(생강가루/다진생강/다진마늘) 1숟가락 [갈비찜 소스 재료] 양조간장 9숟가락| 흑설탕 2~3숟가락| 다진마늘 2숟가락| 매실청(생략가능) 1숟가락| 쌀엿 1숟가락| 국간장 1숟가락| 배즙 2봉지| 참기름 1~2숟가락| 참깨 1숟가락| 후추가루 톡톡| 물 1컵| 사과 1/2개| 양파(중) 1개| 대파 3숟가락(1뿌리정도),"LA갈비,양념소스넉넉하게,알밤,당근,생강차,흑설탕,다진마늘,매실청,쌀엿,국간장,배즙,참기름,참깨,후추가루,물,사과,양파,대파"
코다리조림,[코다리] 명태코다리 4마리 [대파|마늘|생강|물엿|진간장|고추가루|후추|참기름|마늘|깨|식용유] 대파 3뿌리| 다진마늘 3TS| 참기름 1TS| 식용유` 1/2컵(종이컵)| 고추가루 1TS| 올리고당 5~6TS| 진간장 6~7TS| 후추 조금| 깨 조금| 생강 조금| 다싯물 80ml,"명태코다리,마늘,생강,물엿,진간장,고추가루,후추,참기름,마늘,깨,식용유대파,다진마늘,참기름,식용유,고추가루,올리고당,진간장,후추,깨,생강,다싯물"
감자전,[필수재료] 감자 2개| 소금 1/4큰술 [선택재료] 홍고추 1/2개| 청양고추 1/2개| 간장 2큰술| 식초 1큰술,"감자,소금,청양고추,간장,식초"
잡채,[재료] 당면 200g| 시금치 1/2단| 양파 1개| 당근 1개| 느타리버섯 1/2팩| 납작 어묵 2개| 홍피망 1/2개 [양념] 물 200ml| 간장 3큰술| 설탕 2+1/2큰술| 소금 1/2큰술| 포도씨유 2큰술| 참기름 3큰술| 후추 약간| 통깨 1큰술,"당면,시금치,양파,당근,느타리버섯,납작어묵,홍피망"
콩나물국,[재료] 콩나물 2줌| 쪽파 2대| 청양고추 1개| 육수용 멸치 5마리| 육수용 다시마 2장 [간] 소금 1t| 새우젓 1t| 다진마늘 1/2T| 고춧가루 1T| 후추 1/2t,"콩나물,쪽파,청양고추,육수용멸치,육수용다시마,새우젓,다진마늘,고춧가루,후추"
짬뽕,[재료] 오징어 1마리| 돼지고기 1컵| 새우 원하는양| 홍합 원하는양| 잘게썬 파 1컵| 다진 생강 1큰술| 채썬 양파 1컵| 채썬 호박 1컵| 채썬 당근 1/2컵| 매운고추 원하는양| 부추 원하는양| 멸치다시마육수(또는 물) 원하는양| 다진 마늘 (선택) 1큰술 [양념재료] 올리브유(또는 식용유) 3큰술| 간장 3큰술| 고추가루 3큰술| 피쉬액젓 1큰술| 소금 약간,"오징어,돼지고기,새우,홍합,잘게썬파,다진생강,채썬양파,채썬호박,채썬당근,매운고추,부추,멸치다시마육수,다진마늘"
어묵볶음,[재료] 사각어묵 4장| 양파 1/2개| 깨 약간| 실파 1작은술| 올리고당 1작은술 [양념] 식용유 2큰술| 고춧가루 1큰술| 다진마늘 1작은술| 간장 1큰술| 설탕 1/2작은술,"사각어묵,양파,깨,실파,올리고당"
김치찌개,[재료] 돼지고기 목살 200g| 김치 300g| 된장 0.5T| 쌀뜨물 3컵| 다진마늘 1T| 청양고추 1개| 대파 1/2대| 고춧가루 1.5T| 국간장 1T| 새우젓 0.5T,"돼지고기목살,김치,된장,쌀뜨물,다진마늘,청양고추,대파,고춧가루,국간장,새우젓"
라볶이,[재료] 다시육수 3~3+1/2컵| 양파| 당근| 양배추| 파| 라면 1/2개| 어묵 1/2장| 냉동만두 3개| 떡 [양념] 고춧가루 1스푼| 고추장 1+1/2스푼| 간장 1/3스푼 | 올리고당 1스푼| 다진마늘 1/2스푼,"다시육수,양파,당근,양배추,파,라면,어묵,냉동만두,떡"
미역줄기볶음,[재료] 미역 줄기 200g| 당근 (작은것)1/3개| 양파 1/2개 [양념] 마늘 2알| 청주 1큰술| 소금 조금| 참기름 조금| 오일 조금| 통깨 조금,"미역줄기,당근,양파"
계란찜,[재료] 계란 1알| 당금 조금| 파 조금,"계란,당금,파"
라볶이,[재료] 멸치 15마리| 다시마 5조각| 말린표고버섯 2개| 물 3~4컵| 떡볶이떡 1줌| 어묵 2장| 대파 1줄기| 양파 1/2개| 삶은달걀 취향껏| 라면 1개 [양념] 고운 고춧가루 1~2큰술| 간장 2큰술| 설탕 1큰술| 요리당(물엿) 1+1/2큰술,"멸치,다시마,말린표고버섯,물,떡볶이떡,어묵,대파,양파,삶은달걀,라면"
감자조림,[재료] 감자 2개| 양파 1개 [양념] 물 소주컵 2잔| 들기름 1큰술| 국간장 1큰술| 올리고당 2큰술,"감자,양파"
닭볶음탕,[닭볶음탕 재료] 닭 1/2마리| 우유 200ml| 감자 1개| 양파 1/2개| 청양초 1개| 홍 고추 1개| 양배추| 당근| 대파| 마늘 약간| 물 1컵 [닭찜 재료] 닭고기 1/2개| 감자 1개| 양파 1/2개| 표고버섯 2개| 청양초 1개| 홍 고추 1개| 물 1/2컵| 당면 1 줌 [닭볶음탕 양념] 진간장 5숟가락| 설탕 2숟가락| 고춧가루 2숟가락| 깨소금| 참기름| 후추 약간 [찜닭 양념] 간장 5숟가락| 맛술 2숟가락| 양파당 1숟가락| 대파| 참기름| 후추 약간| 흑설탕 2숟가락,"닭,우유,감자,양파,청양초,홍고추,양배추,당근,대파,마늘,물,감자,양파,표고버섯,청양초,홍고추,물,당면,설탕,고춧가루,깨소금,참기름,후추간장,맛술,양파당,대파,참기름,후추,흑설탕"
가지볶음,[재료] 가지| 양파| 당근| 홍고추| 식용유 [양념] 거피들깨| 굴소스| 간장,"가지,양파,당근,홍고추,식용유"
깍두기,[재료] 무 3개(각1.2Kg정도)| 소금 1/2컵| 설탕 1/2컵| 열무 적당량 [밀가루풀] 밀가루 3큰술| 물 2컵 [깍두기양념] 설탕 1컵| 다진마늘 1컵| 소금 2큰술| 액젓 1/3컵| 새우젓 3큰술| 다진생강 1큰술| 굵은고춧가루 1+1/2컵| 고운고춧가루 1+1/2컵,"무,소금,설탕,열무밀가루,물,다진마늘,소금,액젓,새우젓,다진생강,굵은고춧가루,고운고춧가루"
감자조림,[재료] 감자 3개| 다시마 1개| 물(밥공기가득) [양념] 고추가루 2T| 간장 2T| 다진마늘 1ts| 물엿 1ts| 들기름 1ts| 식용유| 깨,"감자,다시마,물"
감자조림,[재료] 감자 4개| 양파 1개| 청양고추 2개| 식초 1티스푼| 기름 약간 [조림장] 굴소스 1스푼| 간장 2스푼| 물 1/2컵| 다진마늘 0.5스푼| 올리고당 1스푼| 맛술 1스푼| 참기름 약간| 깨 약간,"감자,양파,청양고추,식초,기름굴소스,간장,물,다진마늘,올리고당,맛술,참기름,깨"
동그랑땡,[재료] 갈은돼지고기| 당근| 양파| 청양고추| 마늘| 파| 두부| 밀가루| 계란| 기름 [양념] 소금| 후추,"갈은돼지고기,당근,양파,청양고추,마늘,파,두부,밀가루,계란,기름"
애호박볶음,[재료] 애호박 1/2개| 양파 1/4개| 대파(송송썬것) [양념] 식용류 1T| 들기름 1T| 다진마늘 1t| 새우젓 1t| 참기름 1T,"애호박,양파,대파"
땅콩조림,[필수재료] 생 땅콩 200g| 식초 1T [양념재료] 물 1cup| 간장 5T| 설탕 1T| 올리고당 1T| 참기름 1T| 참깨 1/3T,"생땅콩,식초"
깍두기,[재료] 무우 1개| 쪽파 1주먹 [양념] 액젓 1.5T| 다진마늘 1T| 매실액 2T| 고춧가루 3T,"무우,쪽파"
무생채,[재료] 무 약간| 고춧가루| 간마늘| 액젓| 설탕| 통깨| 참기름| 부추 조금,"무,고춧가루,간마늘,액젓,설탕,통깨,참기름,부추"
떡갈비,[재료] 다진 쇠고기 300g| 떡볶이떡 10~20개 [양념] 간장 3큰술| 맛술 1큰술| 청주 1큰술| 양파즙 2큰술| 다진파 3큰술| 다진마늘 1큰술| 생강즙이나 생강가루 1작은술| 꿀 1큰술| 흑설탕(설탕) 1큰술| 참기름 1/2큰술| 후춧가루 1작은술| 찹쌀가루 1큰술,"다진쇠고기,떡볶이떡"
오이소박이,[오이소박이 재료] 오이 8개| 소금 2큰술| 부추 1줌| 고춧가루 5큰술| 까나리액젓 3큰술| 마늘 2큰술| 매실청 3큰술| 생강 3/10작은술| 통깨 2큰술| 양파 1/5개| 소금 1작은술,"오이,소금,부추,고춧가루,까나리액젓,마늘,매실청,생강,통깨,양파,소금"
순두부찌개,[재료] 순두부| 바지락| 양파| 새송이버섯| 애호박| 땡초| 대파| 계란 [양념] 참기름| 고추가루| 새우젓(or소금)| 다진마늘| 멸치육수,"순두부,바지락,양파,새송이버섯,애호박,땡초,대파,계란"
순두부찌개,[순두부찌개 재료] 순두부 1팩| 간 돼지고기 200g| 고운 고춧가루 2T| 다진 마늘 1T| 참치 액 1T| 고추기름 2T| 된장 1T| 김치 1/2컵| 양파 1/2개| 대파 1대| 간장 1T| 육수 1컵| 새우젓 약간| 생강술 약간| 후추 약간,"순두부,간돼지고기,고운고춧가루,다진마늘,참치액,고추기름,된장,김치,양파,대파,간장,육수,새우젓,생강술,후추"
콩나물무침,[재료] 콩나물 600g| 통깨 2스푼| 대파 줄기부분 1개 [양념] 참기름 3스푼| 다진마늘 1/2스푼| 국간장 2/3스푼| 소금 2/3스푼,"콩나물,통깨,대파줄기부분"
미역국,[재료] 미역 적당량| 다시육수(멸치/다시마) 적당량| 참기름 1T| 된장 1T| 멸치액젓 1T| 국간장 1T,"미역,다시육수,참기름,된장,멸치액젓,국간장"
연근조림,[재료] 연근 300g [양념] 양조간장 4+1/2큰술| 맛술 2큰술| 설탕 1큰술| 물엿 4큰술| 물 2+1/2컵,연근
부추김치,[재료] 부추 1단(약 500g) [양념] 고춧가루 2/3컵| 멸치액젓 1/2컵| 새우젓 0.5큰술| 다진마늘 2큰술| 생강가루 약간| 매실액기스 또는 요리당 2큰술| 밀가루풀 물 2/3컵| 밀가루 0.8큰술| 멸치다싯물 또는 생수 3큰술| 통깨 약간,부추
감자조림,[재료] 감자 2개| 청양고추 2개| 대파 [양념] 백종원 만능간장 1국자| 물 2국자| 다진마늘| 매실액| 참기름| 통깨,"감자,청양고추,대파"
오이소박이,[재료] 오이 14개| 부추 2/3단| 당근 작은것 1개| 양파 2개 [양념] 고추가루 1/2컵| 새우젓 2큰술| 다진마늘 1큰술| 매실액| 참깨,"오이,부추,당근,양파"
파김치,[재료] 쪽파 1단| 양파 1/2개 [양념] 찹쌀가루 3큰술| 물1컵| 매실청 10큰술| 고춧가루 10큰술| 멸치액젓 7큰술| 설탕 1큰술| 다진마늘 1큰술| 깨소금 약간,"쪽파,양파"
건새우볶음,[재료] 꽃새우 2컵| 식용유 1+1/2숟가락| 설탕 1숟가락| 간장 2숟가락| 다진마늘 1숟가락| 고추가루 2숟가락| 물 약간| 대파 약간| 통깨 약간| 참기름 약간,"꽃새우,식용유,설탕,간장,다진마늘,고추가루,물,대파,통깨,참기름"
두부조림,[재료] 두부| 마늘 1t| 맛간장 3T| 다진파 1T| 고추가루 1T| 물 1/2컵,"두부,마늘,맛간장,다진파,고추가루,물"
무생채,[재료] 무우 큰거| 굴 1근| 쪽파 1줌| 배 1/2쪽 [양념] 고추가루 2/3컵| 소금 1/2수저| 설탕 1수저| 새우젓 1수저| 다진마늘 1수저| 깨 1수저,"무우,굴,쪽파,배"
전복죽,[재료] 쌀 110g| 전복 2마리| 당근 2개| 계란 흰자 1개분| 참기름 2TS| 소금 적당량 [양념] 계란 노른자 2개| 통깨 조금| 참기름 1TS,"쌀,전복,당근,계란흰자,참기름,소금"
어묵볶음,[재료] 어묵 200g| 양파 (어묵부피와비슷하게)| 대파 (어묵부피와비슷하게)| 당근 (어묵부피의반정도) [양념] 마늘 1T| 진간장 3T| 설탕 1T| 고춧가루 1T| 식용유 3T| 참기름 2T,"어묵,양파,대파,당근"
무생채,[재료] 무 1사발 [양념] 고추가루 1/2소주컵| 파 1소주컵| 식초 1/4소주컵| 설탕 1/3소주컵| 간마늘 1/3소주컵| 액젓 1/4소주컵| 통깨 1스푼,무
깍두기,[재료] 무 1개| 사과 1/2개| 양파 1/2개 [양념] 설탕 1T| 고춧가루 1T| 소금 1T| 다진마늘 3/1T| 다진생강 4/1T| 새우젓 1T,"무,사과,양파"
육회,[재료] 소고기(육회부위) 600g| 배 1개| 마늘 6~8알 [양념] 계란노른자 3개| 소금 0.5T| 설탕 0.5T| 참기름 0.5T| 맛소금 약간| 참깨 약간,"소고기,배,마늘"
어묵볶음,[재료] 어묵 6장 [양념] 식용유 적당량| 마늘 1/2큰술| 설탕 1큰술| 간장 3큰술| 물 1/2컵| 고추가루 1~2큰술| 참기름 1작은술,어묵
두부조림,[재료] 두부 1모| 계란 2개| 양파(중) 1개| 청양고추 2개| 대파 1개 [양념장] 다진마늘 1큰술| 고춧가루 1+1/2큰술| 설탕 1큰술| 깨 1큰술| 진간장 3큰술| 물 1컵| 참기름 약간,"두부,계란,양파,청양고추,대파"
계란찜,[재료] 계란 3알| 파 조금| 물 120ml [양념] 소금(or새우젓) 2/3T,"계란,파,물"
순두부찌개,[재료] 순두부| 파| 청양고추| 팽이버섯(생략가능) [양념] 계란 육수(멸치다시다로가능)| 고춧가루| 다진마늘,"순두부,파,청양고추,팽이버섯"
메추리알장조림,[재료] 메추리알(시판용깐거사용) 450g [양념(컵은종이컵기준)] 물 2컵| 간장 2/3컵| 설탕 1/2컵| 다시마 2장| 깨소금 약간| 올리고당 2스푼,"메추리알,간장,설탕,다시마,깨소금,올리고당"
약과,[재료] 우리밀 중력분 200g| 참기름 3Ts| 소금 1꼬집| 후춧가루 약간| 꿀 3Ts| 소주 2+2/3Ts [양념] 조청시럽 - 조청 400cc| 물 100cc| 생강 40g | 장식해줄 건대추와 잣 적당량,"우리밀중력분,참기름,소금,후춧가루,꿀,소주"
코다리조림,[재료] 코다리 1+1/2마리| 청양고추 1개| 소금 약간 [양념] 고춧가루 1큰술| 청주 1큰술| 간양파 2큰술| 물엿 1큰술| 다진마늘 1큰술| 후춧가루 조금| 간장 2큰술| 참기름 조금| 대파 조금| 다시마육수(생략가능) 조금,"코다리,청양고추,소금"
가지볶음,[재료] 가지 3개 [매운가지볶음양념] 간장 5스푼| 국간장 1스푼| 설탕 1스푼| 깨소금 1스푼| 참기름 1스푼| 고추 2개| 다진마늘 1/2스푼| 고춧가루 1스푼 [안매운가지볶음양념] 간장 1스푼| 깨소금 1스푼| 참기름 1스푼| 다진마늘 1/2스푼,"가지,국간장,설탕,깨소금,참기름,고추,다진마늘,고춧가루,깨소금,참기름,다진마늘"
두부김치,[두부김치 재료] 두부 1모| 김치(묵은지) 1줌| 양파 1/4개| 대파 1/3대| 청양고추 1개| 홍고추 1/2개| 깨소금 약간 [양념재료] 들기름 2T| 설탕 1t| 멸치액젓 1t| 식용유 적당량| 고춧가루 취향껏,"두부,김치,양파,대파,청양고추,홍고추,깨소금"
메추리알장조림,[재료] 메추리알 30알| 새송이버섯 3개| 양파 1개| 마늘 7톨 [양념] 물 500ml| 간장 8스푼(밥수저)| 설탕 1스푼(밥수저)| 매실액 1스푼(밥수저)| 올리고당 1스푼(밥수저)| 식초 2방울,"메추리알,새송이버섯,양파,마늘"
순두부찌개,[재료] 돼지고기 묵은지 1/3포기| 순두부 1봉| 바지락 1줌| 달걀 1개| 다진 양파 1/2컵| 쪽파 1/2컵| 멸치육수 1+ 1/2컵 [양념] 고추기름 2큰술| 참기름 1큰술| 고춧가루 1큰술| 국간장 1+1/2큰술| 다진 마늘 1/2큰술| 후추 약간| 생강술 1큰술| 된장 1/2큰술| 청양고추 2개,"돼지고기묵은지,순두부,바지락,달걀,다진양파,쪽파,멸치육수"
잡채,[재료] 당면| 고기| 시금치| 당근| 버섯| 양파 [양념] 참기름| 간장| 아가베시럽(올리고당 대체가능) [고기 밑간] 다진마늘 1큰술| 간장 2큰술| 후추약간| 참기름 1작은술| 청주 1작은술,"당면,고기,시금치,당근,버섯,양파"
백김치,[재료] 작은포기배추 2포기| 천일염 1컵| 물 4리터 (물 5컵+천일염1/4컵)| 찹쌀가루 4큰술| 양파 1개| 배 1개| 새우젓 4큰술| 무 1/2개| 홍고추 2개| 쪽파 1줌 [양념] 다진마늘 3큰술| 다진생강 1/2큰술,"작은포기배추,천일염,물,찹쌀가루,양파,배,새우젓,무,홍고추,쪽파"
동태찌개,[재료] 동태 1마리| 고니 조금| 미더덕 조금| 무우 1/2개| 홍고추 1/2개| 물 6컵| 대파 1뿌리 [양념] 고춧가루 2큰술| 고추장 1+1/2큰술| 다진마늘 1큰술| 다진파 조금| 다진생강 조금| 청주 1큰술| 후춧가루 조금| 소금 조금,"동태,고니,미더덕,무우,홍고추,물,대파"
호박죽,[재료] 단호박 1개| 밥 3스푼| 우유 180ml| 꿀 5스푼,"단호박,밥,우유,꿀"
김치볶음밥,[재료] 밥 2.5공기| 김치 1공기| 대파 1공기| 캔햄 120g| 계란 2개 [양념] 설탕 약간| 견과류 3큰술| 간장 2큰술| 참기름 1.5큰술| 깨 1.5큰술,"밥,김치,대파,캔햄,계란"
감자채볶음,[재료] 감자 4개(450g)| 양파 1/2개| 당근 1토막| 소금 1/2수저| 설탕 1/3수저| 후추 톡톡톡| 오일 2수저,"감자,양파,당근,소금,설탕,후추톡,오일"
동태찌개,[재료] 동태 1마리| 두부 1모| 무 사진참조| 호박 사진참조| 대파 2뿌리| 청량고추 3개| 조개.미더덕 약간| 쌀뜬물 [양념] 된장 1/2수저| 고추가루 1.5수저| 다진마늘 1수저| 새우젓 1/2수저,"동태,두부,무사진참조,호박사진참조,대파,청량고추,조개미더덕,쌀뜬물"
찜닭,[재료] 닭| 당면| 감자| 당근 [양념] 간장 8~9큰술| 굴소스 3큰술| 다진 마늘 4큰술| 설탕 1.5큰술| 물엿 2큰술| 설탕 1.5큰술| 청주 1큰술| 후춧가루 약간| 청양고추 ,"닭,당면,감자,당근"
떡꼬치,[재료] 떡볶이떡(밀떡or쌀떡) [양념] 케첩 1컵| 고추장 1T| 고추가루 1T| 간장 1T| 설탕 2T| 올리고당 4T| 다진마늘 1T| 물 1컵,떡볶이떡
콩나물국,[재료] 콩나물 100그램| 연하게 우린 멸치육수 3컵| 쪽파 1대 [양념] 천일염 2/3큰술| 다진마늘 1작은술,"콩나물,연하게우린멸치육수,쪽파"
고등어조림,[재료] 고등어 큰거 2마리| 감자 5개| 양파 1개 [양념] 국간장 1.5큰술| 마늘 2큰술| 생강 1/2큰술| 고춧가루 1큰술| 고추장 1.5큰술| 카레가루 1큰술| 굴소스 1큰술| 대파 약간| 물 4컵| 후추 약간,"고등어,감자,양파"
찜닭,[재료] 달 10호 1마리| 양파 1개| 감자 1/2개| 당근 1개| 떡국용 떡 1/2컵| 대파 1대| 당면 100원 동전(원하는 만큼)| 건고추 2개| 청양고추 1~3개| 버섯 조금(원하는만큼) [소스] 간장 6T| 물엿 2T| 맛술 4T| 설탕 1T| 마늘 4개| 캐러멜 시럽 1T| 생강즙 조금| 후추 약간,"달,양파,감자,당근,떡국용떡,대파,당면,건고추,청양고추,버섯간장,물엿,맛술,설탕,마늘,캐러멜시럽,생강즙,후추"
떡볶이,[재료] 떡볶이떡| 어묵| 양배추 1/8통| 당근 1/4개| 양파 1/2개| 대파 [양념장 - (100ml 컵) ] 고추장 2/3| 간장 1/3| 설탕 1/3| 올리고당이나 물엿등 1큰술| 고춧가루 1 [볶음밥] 자반 김 큰 도시락김 1봉| 밥 1공기| 들기름or참기름 2~3큰술| 치즈 1/3 공기이상| 후추,"떡볶이떡,어묵,양배추,당근,양파,대파,간장,설탕,올리고당이나물엿등,고춧가루,밥,들기름"
곱창전골,[재료] 소곱창+막창+대창 800g| 계란 1개| 대파 1/2대| 깻잎| 표고버섯| 양송이| 느타리버섯| 당면| 쥬키니호박 1/4개| 팽이버섯 1봉| 쑥갓 2줄| 깻잎 7장 [양념] 다진마늘 2큰술| 고춧가루 2/3컵| 국간장 3큰술| 소금 1작은술| 집된장 1작은술,"소곱창막창대창,계란,대파,깻잎,표고버섯,양송이,느타리버섯,당면,쥬키니호박,팽이버섯,쑥갓,깻잎"
닭갈비,[재료] 닭 1마리| 양배추| 대파| 당근| 양파| 감자| 청양고추 [양념] 고추장 3| 간장 3| 마늘 2| 설탕 2| 고춧가루 2| 후춧가루| 참기름,"닭,양배추,대파,당근,양파,감자,청양고추"
찜닭,[재료] 닭 1마리| 대파 1뿌리| 양파 1개| 감자 1개| 당근 1/2개| 청양고추| 당면| 떡 [양념] 간장 1컵| 맛술 1/2컵| 설탕 1/2컵| 참기름| 다진마늘 1큰술| 카라멜소스(선택),"닭,대파,양파,감자,당근,청양고추,당면,떡"
감자탕,[재료] 돼지등뼈 1kg| 불린무청시래기 1줌| 감자 3개 [돼지등뼈삶을재료] 월계수잎 4장| 통후추 20알| 된장 1밥술 [양념] 마늘 7톨| 생강 엄지손가락 반만한크기 1톨| 대파 1/3뿌리| 고춧가루 4밥술| 청주 1밥술| 된장 1밥술| 굵은 소금 1/2밥술| 들깨가루 1밥술| 볶은콩가루 1밥술,"돼지등뼈,불린무청시래기,감자,통후추,된장"
떡볶이,[재료] 떡국떡 2종이컵| 오뎅 2장| 양파 1/3개| 파 1대| 물 1종이컵| 후추 조금| 깨 조금 [양념] 설탕 1/2종이컵| 고춧가루 1/2종이컵| 간장 1/4종이컵| 고추장 1/3종이컵| 물 1/2종이컵,"떡국떡,오뎅,양파,파,물,후추,깨"
간장게장,[재료] 냉동알베기꽃게 1키로| 양파 1개| 청양 고추 1개| 홍 고추 1개| 마늘 5쪽| 생강 1톨| 건표고버섯 3개 [양념] 국간장 1컵| 진간장 8컵| 물 8컵| 소주 1컵| 배 큰거 1개| 양파 2개| 마늘 1통(6쪽정도)| 청양고추 3개| 대파 뿌리 5개| 다시마 1장| 다진 생강 2큰술(편썬생강한톨),"냉동알베기꽃게,양파,청양고추,홍고추,마늘,생강,건표고버섯"
닭갈비,[재료] 닭안심 500g| 양파 1개| 당근 약간| 양배추 1+1/2줌| 감자 1개| 깻잎 10장| 식용유 2T [양념] 간장 5T| 고추장 3T| 고추가루 3T| 맛술 3T| 설탕 2T| 들기름 2T| 카레가루 0.5T| 다진마늘 1T| 후추 5번톡톡| 맛소금 1티스푼,"닭안심,양파,당근,양배추,감자,깻잎,식용유"
두부조림,[두부조림] 두부 1모| 계란 1개| 고추 1개| 홍고추 1개| 청경채 2장| 고춧가루 2큰술| 국간장 2큰술| 대파 1대| 마늘 1큰술| 참기름 1큰술 [육수 만들기] 멸치 10마리| 다시마 4장| 물 600ml,"두부,계란,고추,홍고추,청경채,고춧가루,국간장,대파,마늘,참기름,다시마,물"
감자전,[재료] 감자 4개| 소금 1/3t,"감자,소금"
갈비탕,[재료] 갈비탕용 소고기 1kg| 무 1토막| 대파 흰부분 5대| 양파 1/2개| 당면 1줌 [양념] 물 12종이컵| 맛술 3T| 꽃소금 3티스푼| 간장 2T| 다진마늘 1T| 자른대파 1/2뿌리| 후추 약간,"갈비탕용소고기,무,대파흰부분,양파,당면"
애호박볶음,[재료] 애호박 1개(일반 애호박1.5개)| 양파 0.5개| 청양고추 2개| 올리브유 3숟가락 [양념] 새우젓 1숟가락| 고추가루 1숟가락| 통깨 0.5숟가락,"애호박,양파,청양고추,올리브유"
콩나물국,[재료] 콩나물| 물/멸치다시육수| 새우젓| 다진마늘/까나리액젓/멸치액젓| 고춧가루| 소금| 파| 청양고추,"콩나물,물"
김치찌개,[재료] 돼지고기 1줌| 김치 1/2포기| 마늘 1TS| 고추가루 1TS| 대파 조금| 다시마 멸치 육수 적당히,"돼지고기,김치,마늘,고추가루,대파,다시마멸치육수"
메추리알장조림,[재료] 메추리알 56개(2판) [부재료와 양념] 마늘 12~15톨| 진간장 8스푼| 설탕 2스푼| 대파 1대| 양파 1/4개| 꽈리고추 5개,"메추리알,진간장,설탕,대파,양파,꽈리고추"
깻잎장아찌,[재료] ? 깻잎 200장| 마늘 10쪽? ? ? [양념] 달임장 물 1컵| 간장 1컵| 설탕 1/2컵| 식초 1/2컵,"깻잎,마늘"
어묵볶음,[재료] 어묵 5장| 양파 1/2~1개| 청양고추(or고추) 1~2개| 대파 적당량 [양념] 고춧가루 1/2스푼| 고추장 1/2스푼| 간장 1/2스푼| 올리고당 1~2큰술(취향껏)| 다진마늘 1/2큰술| 깨소금 적당량| 후춧가루 톡톡,"어묵,양파,청양고추,대파"
